epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.053,1.32567,1.58687,1.41292,0.02684,0.27419,0.02002,0.01337,1.81908,36.1363,2.31412,0.00055454,0.00055454,0.00055454
2,363.45,1.38384,1.37922,1.46091,0.73396,0.68328,0.74272,0.45505,1.19744,1.56183,1.4625,0.00110021,0.00110021,0.00110021
3,542.009,1.32369,1.26336,1.41523,0.80234,0.83152,0.87019,0.55021,1.05688,1.4985,1.28375,0.00163589,0.00163589,0.00163589
4,720.194,1.2378,1.1435,1.36153,0.82423,0.8479,0.89062,0.54028,1.16175,1.35341,1.33893,0.00162199,0.00162199,0.00162199
5,898.104,1.17557,1.03503,1.3186,0.84884,0.90216,0.91006,0.61093,0.93944,0.7879,1.2062,0.00160699,0.00160699,0.00160699
6,1076.4,1.12861,0.96866,1.28008,0.92677,0.92734,0.9351,0.65939,0.90639,0.67691,1.21639,0.00159198,0.00159198,0.00159198
7,1254.67,1.0959,0.89817,1.2634,0.93478,0.93341,0.9521,0.65289,0.88217,0.64996,1.17863,0.00157698,0.00157698,0.00157698
8,1432.81,1.07454,0.86353,1.25219,0.85615,0.91773,0.93252,0.64288,0.89605,0.64862,1.18633,0.00156198,0.00156198,0.00156198
9,1610.87,1.06768,0.85492,1.25232,0.89846,0.92252,0.94659,0.68113,0.85261,0.61717,1.14038,0.00154698,0.00154698,0.00154698
10,1789,1.03327,0.81992,1.2266,0.95701,0.90826,0.9609,0.6493,0.97388,0.64152,1.25919,0.00153197,0.00153197,0.00153197
11,1967.04,1.03096,0.80132,1.22163,0.9524,0.93059,0.9538,0.67758,0.91713,0.62217,1.17933,0.00151697,0.00151697,0.00151697
12,2145.03,1.01009,0.76103,1.20883,0.93744,0.95594,0.96413,0.7147,0.81954,0.53806,1.13746,0.00150197,0.00150197,0.00150197
13,2323.41,1.00047,0.74361,1.20171,0.93071,0.9484,0.95773,0.66381,0.91383,0.56237,1.173,0.00148696,0.00148696,0.00148696
14,2501.54,0.99242,0.73677,1.19987,0.93356,0.9441,0.95578,0.69152,0.86957,0.54446,1.18314,0.00147196,0.00147196,0.00147196
