epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5345,1.27131,1.79458,1.23759,0.76071,0.74107,0.81419,0.49626,1.0846,1.56448,1.14117,0.00055454,0.00055454,0.00055454
2,105.37,1.24995,1.30709,1.2295,0.88546,0.84115,0.91219,0.5761,1.04272,1.16234,1.11066,0.00109593,0.00109593,0.00109593
3,154.477,1.24207,1.15838,1.22422,0.82105,0.88926,0.89503,0.58061,1.02954,0.86162,1.12248,0.00162304,0.00162304,0.00162304
4,205.686,1.19003,1.07474,1.19607,0.86529,0.8839,0.92098,0.59367,1.04116,0.88375,1.1095,0.0016027,0.0016027,0.0016027
5,253.996,1.15002,0.98375,1.17621,0.88635,0.93071,0.93759,0.62638,0.94981,0.7383,1.09923,0.00158127,0.00158127,0.00158127
6,301.413,1.11542,0.92079,1.15921,0.92637,0.91877,0.92951,0.64802,0.93667,0.6896,1.08523,0.00155984,0.00155984,0.00155984
7,348.533,1.07913,0.85521,1.14324,0.85793,0.93972,0.93238,0.65969,0.90783,0.67196,1.03721,0.0015384,0.0015384,0.0015384
8,395.702,1.058,0.83757,1.13888,0.85948,0.92405,0.92609,0.63363,0.93143,0.74659,1.09159,0.00151697,0.00151697,0.00151697
9,443.092,1.03623,0.81295,1.12494,0.89859,0.94009,0.95135,0.64417,0.94528,0.66975,1.11919,0.00149554,0.00149554,0.00149554
10,490.299,1.03807,0.79576,1.12243,0.91667,0.93842,0.95168,0.66023,0.89251,0.6283,1.04267,0.0014741,0.0014741,0.0014741
11,538.462,1.00849,0.77314,1.10858,0.92133,0.94308,0.95954,0.66687,0.88891,0.60537,1.04334,0.00145267,0.00145267,0.00145267
12,586.994,1.00343,0.74744,1.10262,0.92697,0.93828,0.94984,0.68305,0.85887,0.56885,1.03407,0.00143124,0.00143124,0.00143124
13,634.859,0.98842,0.72554,1.098,0.9174,0.93408,0.9315,0.6645,0.89842,0.59033,1.0765,0.00140981,0.00140981,0.00140981
14,684.339,0.98592,0.73609,1.1,0.93735,0.95443,0.96461,0.70426,0.85463,0.53686,1.02204,0.00138837,0.00138837,0.00138837
15,731.819,0.97376,0.70533,1.08849,0.9472,0.93967,0.94819,0.7059,0.82185,0.54365,1.00933,0.00136694,0.00136694,0.00136694
16,779.783,0.95781,0.69873,1.08729,0.92872,0.94866,0.95439,0.71148,0.78547,0.52591,0.99951,0.00134551,0.00134551,0.00134551
17,827.764,0.95336,0.67661,1.07687,0.93262,0.95617,0.95213,0.68387,0.89224,0.54757,1.11601,0.00132407,0.00132407,0.00132407
18,875.505,0.94108,0.66971,1.07274,0.94401,0.94245,0.95618,0.68738,0.86392,0.55719,1.09149,0.00130264,0.00130264,0.00130264
19,923.873,0.93554,0.66396,1.0787,0.94172,0.93697,0.96148,0.71622,0.83063,0.5491,1.04416,0.00128121,0.00128121,0.00128121
20,972.152,0.92527,0.65534,1.07062,0.92688,0.92834,0.95064,0.69714,0.82917,0.55892,1.01457,0.00125978,0.00125978,0.00125978
21,1020.28,0.92171,0.64626,1.06227,0.92295,0.95319,0.96278,0.70438,0.91301,0.53865,1.12033,0.00123834,0.00123834,0.00123834
22,1069.52,0.91609,0.63214,1.0633,0.93773,0.9454,0.9607,0.67901,0.90703,0.52263,1.13297,0.00121691,0.00121691,0.00121691
23,1117.6,0.91701,0.63194,1.0693,0.95454,0.95209,0.96978,0.69984,0.8879,0.50911,1.09465,0.00119548,0.00119548,0.00119548
24,1165.94,0.89079,0.62554,1.05362,0.95375,0.95281,0.96722,0.69552,0.84761,0.51861,1.08714,0.00117404,0.00117404,0.00117404
