epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.639,1.32567,1.94501,1.25838,0.69856,0.67877,0.76988,0.4793,1.13935,1.32767,1.13196,0.00055454,0.00055454,0.00055454
2,132.497,1.27435,1.3596,1.22528,0.83746,0.84587,0.87828,0.53985,1.12688,1.00985,1.15018,0.00109593,0.00109593,0.00109593
3,194.423,1.26195,1.1934,1.22027,0.84049,0.89306,0.90643,0.56096,1.1401,0.8747,1.18854,0.00162304,0.00162304,0.00162304
4,255.097,1.20328,1.07745,1.19174,0.84774,0.86751,0.91713,0.59132,1.01211,0.85183,1.08611,0.0016027,0.0016027,0.0016027
5,315.064,1.16498,0.9911,1.16451,0.87301,0.92723,0.9333,0.63092,0.94958,0.70075,1.04087,0.00158127,0.00158127,0.00158127
6,374.806,1.12994,0.93467,1.14943,0.92318,0.91186,0.9516,0.63586,0.95844,0.7061,1.07755,0.00155984,0.00155984,0.00155984
7,433.568,1.10266,0.87698,1.13675,0.94233,0.90135,0.94635,0.65255,0.93066,0.64496,1.04047,0.0015384,0.0015384,0.0015384
8,493.045,1.09238,0.86772,1.12944,0.92688,0.92693,0.93801,0.62698,0.9461,0.68646,1.06843,0.00151697,0.00151697,0.00151697
9,551.371,1.06671,0.85298,1.11885,0.91181,0.94482,0.95565,0.65815,0.89873,0.6765,1.0164,0.00149554,0.00149554,0.00149554
10,610.063,1.04217,0.81353,1.10982,0.9345,0.91838,0.94959,0.64618,0.91665,0.6234,1.08643,0.0014741,0.0014741,0.0014741
11,668.196,1.04248,0.80678,1.11,0.93239,0.92345,0.94735,0.6699,0.84701,0.58226,0.98751,0.00145267,0.00145267,0.00145267
12,725.405,1.01847,0.76525,1.09477,0.92293,0.94683,0.94931,0.68185,0.8736,0.59569,1.03424,0.00143124,0.00143124,0.00143124
13,783.47,1.02233,0.76118,1.09486,0.94174,0.9384,0.9669,0.6814,0.91244,0.59668,1.06344,0.00140981,0.00140981,0.00140981
14,843.254,0.99636,0.739,1.08743,0.90414,0.92138,0.93822,0.63949,0.97163,0.65257,1.13338,0.00138837,0.00138837,0.00138837
15,902.814,0.99714,0.72716,1.08544,0.9595,0.92723,0.95859,0.68584,0.87517,0.57008,1.04196,0.00136694,0.00136694,0.00136694
16,961.3,0.97825,0.71425,1.07979,0.93989,0.93717,0.95604,0.71041,0.81688,0.56994,1.01686,0.00134551,0.00134551,0.00134551
17,1019.92,0.97487,0.70341,1.07804,0.94033,0.94287,0.96747,0.70072,0.86044,0.55822,1.0468,0.00132407,0.00132407,0.00132407
18,1078.33,0.95613,0.69023,1.06274,0.94122,0.9438,0.96167,0.6989,0.86334,0.55276,1.0257,0.00130264,0.00130264,0.00130264
19,1136.33,0.95441,0.67883,1.06545,0.93925,0.93079,0.95578,0.70098,0.82229,0.53767,0.98485,0.00128121,0.00128121,0.00128121
20,1193.89,0.94721,0.67547,1.06626,0.95923,0.94657,0.96185,0.69093,0.86721,0.52834,1.05955,0.00125978,0.00125978,0.00125978
21,1251.01,0.94446,0.66331,1.05788,0.9341,0.93305,0.96284,0.69609,0.88037,0.52939,1.08049,0.00123834,0.00123834,0.00123834
22,1307.83,0.92279,0.66342,1.05102,0.93445,0.95153,0.95819,0.69078,0.89019,0.51543,1.09984,0.00121691,0.00121691,0.00121691
23,1366.74,0.93859,0.65311,1.06184,0.96053,0.95085,0.96562,0.70225,0.87497,0.50557,1.03808,0.00119548,0.00119548,0.00119548
24,1426.73,0.91001,0.63667,1.04353,0.95594,0.9407,0.96033,0.71098,0.80296,0.52327,0.96533,0.00117404,0.00117404,0.00117404
25,1487.01,0.91621,0.6336,1.05143,0.94626,0.95027,0.95545,0.71053,0.8054,0.52145,0.99803,0.00115261,0.00115261,0.00115261
26,1547.29,0.91203,0.63078,1.0435,0.96262,0.95617,0.96866,0.73192,0.79699,0.48112,0.98853,0.00113118,0.00113118,0.00113118
27,1607.33,0.89601,0.61976,1.04037,0.95914,0.95267,0.96845,0.71564,0.80427,0.48886,1.025,0.00110975,0.00110975,0.00110975
28,1666.05,0.90144,0.6118,1.04126,0.92812,0.94109,0.95792,0.69923,0.86586,0.51524,1.0452,0.00108831,0.00108831,0.00108831
29,1724.22,0.89419,0.61679,1.03782,0.95685,0.93916,0.9704,0.7169,0.83594,0.50604,1.02518,0.00106688,0.00106688,0.00106688
30,1783.32,0.89468,0.61228,1.04104,0.93863,0.94593,0.96474,0.71548,0.81254,0.4798,1.0515,0.00104545,0.00104545,0.00104545
31,1843.21,0.89549,0.61804,1.04309,0.95047,0.95821,0.96889,0.73584,0.76432,0.4618,0.96487,0.00102401,0.00102401,0.00102401
32,1902.73,0.87748,0.58874,1.03522,0.96482,0.95413,0.96944,0.73451,0.77164,0.45281,0.98111,0.00100258,0.00100258,0.00100258
33,1962.77,0.86496,0.57768,1.0251,0.95139,0.95096,0.96584,0.71789,0.81311,0.48466,1.03824,0.000981149,0.000981149,0.000981149
34,2021.67,0.87316,0.58445,1.03227,0.95188,0.94906,0.9602,0.73325,0.75739,0.44706,0.95798,0.000959716,0.000959716,0.000959716
35,2081.69,0.86804,0.57919,1.02745,0.95736,0.94585,0.96323,0.72032,0.84484,0.46451,1.05267,0.000938283,0.000938283,0.000938283
36,2142.23,0.85624,0.5714,1.02173,0.93001,0.95207,0.95814,0.72094,0.81776,0.4753,1.02538,0.00091685,0.00091685,0.00091685
